# Rime user dictionary
#@/db_name	wanxiang
#@/db_type	userdb
#@/rime_version	1.10.0
#@/tick	31620
#@/user_id	b05c24aa-c4d6-4bd9-842a-ee5398eb78ba
a 	啊	c=5 d=2.74676 t=31620
bāo yóu 	包邮	c=1 d=0.759572 t=31620
bāo zi 	包子	c=7 d=2.62906 t=31620
bēn zhe 	奔着	c=1 d=0.794534 t=31620
bēng kuì 	崩溃	c=1 d=0.351691 t=31620
bēng zài 	崩在	c=1 d=0.965606 t=31620
běi 	北	c=2 d=1.0815 t=31620
běi bàn qiú 	北半球	c=2 d=0.896416 t=31620
běi jīng 	北京	c=35 d=11.3021 t=31620
běi jīng shì 	北京市	c=1 d=0.88692 t=31620
běi píng lóu 	北平楼	c=1 d=0.985111 t=31620
běn bào 	本报	c=1 d=0.909373 t=31620
běn cì 	本次	c=3 d=1.58692 t=31620
běn dì 	本地	c=7 d=3.70172 t=31620
běn lái 	本来	c=9 d=4.63025 t=31620
běn rén 	本人	c=5 d=2.07978 t=31620
běn rì 	本日	c=1 d=0.980199 t=31620
běn shì 	本事	c=1 d=0.895834 t=31620
běn shēn 	本身	c=3 d=1.15889 t=31620
běn shū 	本书	c=1 d=0.625003 t=31620
běn zhì 	本质	c=1 d=0.873716 t=31620
běn zhì shàng 	本质上	c=1 d=0.980199 t=31620
běn zhōu 	本周	c=1 d=0.970446 t=31620
bī bī lài lài 	逼逼赖赖	c=1 d=0.722527 t=31620
bī zhe 	逼着	c=0 d=0.0927743 t=31620
bō 	播	c=2 d=1.8376 t=31620
bō 	波	c=1 d=0.965606 t=31620
bō dòng 	拨动	c=1 d=0.909373 t=31620
bō dòng 	波动	c=1 d=0.529935 t=31620
bō fàng 	播放	c=5 d=1.77597 t=31620
bō fàng qì 	播放器	c=3 d=2.20644 t=31620
bō kè 	播客	c=2 d=1.56163 t=31620
bō li 	玻璃	c=2 d=1.89318 t=31620
bō li xīn 	玻璃心	c=1 d=0.970446 t=31620
bō luó 	菠萝	c=1 d=1.0439 t=31620
bō luó bō luó 	菠萝菠萝	c=1 d=0.873716 t=31620
bō tè lǜ 	波特率	c=2 d=1.32524 t=31620
bō zhǒng 	播种	c=6 d=2.84423 t=31620
bō zhǒng jī 	播种机	c=1 d=0.918512 t=31620
bō zhǒng qī 	播种期	c=1 d=0.99005 t=31620
bǎ 	把	c=31 d=6.58926 t=31620
bǎ rén 	把人	c=1 d=0.666977 t=31620
bǎ wǒ 	把我	c=1 d=0.913931 t=31620
bǎi dòng 	摆动	c=4 d=1.65587 t=31620
bǎi dù 	百度	c=1 d=0.99005 t=31620
bǎi fēn 	百分	c=1 d=0.360595 t=31620
bǎi fēn bǐ 	百分比	c=8 d=2.42585 t=31620
bǎi fēn zhī sì shí 	百分之四十	c=1 d=0.895834 t=31620
bǎi liàn 	百炼	c=2 d=1.22813 t=31620
bǎi wàn 	百万	c=1 d=0.980199 t=31620
bǎn 	版	c=6 d=4.36317 t=31620
bǎn běn 	版本	c=59 d=12.374 t=31620
bǎn kuài 	板块	c=1 d=0.99005 t=31620
bǎn zi 	板子	c=17 d=5.49365 t=31620
bǎo chí 	保持	c=7 d=2.2767 t=31620
bǎo cún 	保存	c=9 d=3.2499 t=31620
bǎo dìng 	保定	c=1 d=0.856415 t=31620
bǎo dǐ 	保底	c=2 d=1.78329 t=31620
bǎo dǐng 	宝鼎	c=1 d=0.97531 t=31620
bǎo hù 	保护	c=2 d=1.83815 t=31620
bǎo liú 	保留	c=7 d=4.08373 t=31620
bǎo shí 	宝石	c=1 d=0.831104 t=31620
bǎo shǒu 	保守	c=2 d=1.678 t=31620
bǎo shǒu le 	保守了	c=1 d=0.965606 t=31620
bǎo xiū 	保修	c=2 d=1.39562 t=31620
bǎo zhàng 	保障	c=21 d=3.90861 t=31620
bǐ 	比	c=8 d=3.36269 t=31620
bǐ fāng 	比方	c=1 d=0.444858 t=31620
bǐ jiào 	比较	c=20 d=3.33602 t=31620
bǐ jiào gāo 	比较高	c=1 d=0.790571 t=31620
bǐ jiào huǒ 	比较火	c=2 d=1.34935 t=31620
bǐ jì 	笔记	c=6 d=3.76253 t=31620
bǐ jì běn 	笔记本	c=11 d=4.02873 t=31620
bǐ rú 	比如	c=16 d=3.35841 t=31620
bǐ sài 	比赛	c=3 d=1.99052 t=31620
bǐ sài zhōng 	比赛中	c=1 d=0.955997 t=31620
bǐ tè lǜ 	比特率	c=2 d=1.21341 t=31620
bǐ yà dí 	比亚迪	c=1 d=0.932394 t=31620
bǐ yù 	比喻	c=1 d=0.516852 t=31620
bǐ zhuāng ruǎn jiàn 	比装软件	c=2 d=1.87883 t=31620
bǔ cháng 	补偿	c=8 d=3.67052 t=31620
bǔ chōng 	补充	c=2 d=1.08332 t=31620
bǔ dīng 	补丁	c=6 d=2.90664 t=31620
bǔ fā 	补发	c=1 d=0.299692 t=31620
bǔ huò 	捕获	c=1 d=0.980199 t=31620
bǔ quán 	补全	c=13 d=5.69073 t=31620
bǔ tiē 	补贴	c=5 d=3.81002 t=31620
chuàn 	串	c=1 d=0.965606 t=31620
chuàn kǒu 	串口	c=19 d=10.3962 t=31620
chuàn liú 	串流	c=1 d=0.865022 t=31620
chuàng 	创	c=1 d=1.04209 t=31620
chuàng duō xīng 	创多星	c=3 d=2.061 t=31620
chuàng gòu 	创够	c=1 d=0.771052 t=31620
chuàng jiàn 	创建	c=11 d=5.0483 t=31620
chuàng jiàn yǐ 	创建以	c=1 d=0.882497 t=31620
chuàng lóng 	创龙	c=4 d=2.64708 t=31620
chuán 	传	c=3 d=1.26185 t=31620
chuán dào 	传到	c=1 d=0.806541 t=31620
chuán dì 	传递	c=2 d=1.70285 t=31620
chuán gǎn 	传感	c=1 d=0.734268 t=31620
